film_title,film_slug,film_prefix,label,role,type,source,original_width,original_height,aspect,thumb_path,thumb_width,thumb_height,large_path,large_width,large_height
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,POSTER,poster,poster,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsPoster.jpg,2480,3508,0.707,/images/films/donotfeedtheanimals/DNFTA-poster-thumb.webp,848,1200,/images/films/donotfeedtheanimals/DNFTA-poster-large.webp,1555,2200
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 01,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_00_08_21.Still004-topaz-sharpen-face-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-01-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-01-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 02,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_02_34_23.Still008-topaz-sharpen-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-02-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-02-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 03,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_06_13_03.Still007-topaz-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-03-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-03-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 04,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_13_21_17.Still002-topaz-sharpen-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-04-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-04-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 05,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_13_22_20.Still005-topaz-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-05-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-05-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 06,still,panorama,D:\Holy Flock\DoNotFeedTheAnimals\DNFTA Graded Picture REC709 Stereo 21 01 21.mov.10_14_15_06.Still001-topaz-upscale-2.6x.jpg,5345,2239,2.3872,/images/films/donotfeedtheanimals/DNFTA-still-06-thumb.webp,1300,545,/images/films/donotfeedtheanimals/DNFTA-still-06-large.webp,2400,1005
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 07,still,wide,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsBTS01.jpg,1920,1080,1.7778,/images/films/donotfeedtheanimals/DNFTA-still-07-thumb.webp,1100,619,/images/films/donotfeedtheanimals/DNFTA-still-07-large.webp,1920,1080
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 08,still,wide,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsBTS02.jpg,1920,1080,1.7778,/images/films/donotfeedtheanimals/DNFTA-still-08-thumb.webp,1100,619,/images/films/donotfeedtheanimals/DNFTA-still-08-large.webp,1920,1080
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 09,still,wide,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsBTS03.jpg,1920,1080,1.7778,/images/films/donotfeedtheanimals/DNFTA-still-09-thumb.webp,1100,619,/images/films/donotfeedtheanimals/DNFTA-still-09-large.webp,1920,1080
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 10,still,wide,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsBTS04.jpg,1920,1080,1.7778,/images/films/donotfeedtheanimals/DNFTA-still-10-thumb.webp,1100,619,/images/films/donotfeedtheanimals/DNFTA-still-10-large.webp,1920,1080
Do Not Feed The Animals,donotfeedtheanimals,DNFTA,STILL 11,still,wide,D:\Holy Flock\DoNotFeedTheAnimals\DoNotFeedTheAnimalsBTS05.jpg,1920,1080,1.7778,/images/films/donotfeedtheanimals/DNFTA-still-11-thumb.webp,1100,619,/images/films/donotfeedtheanimals/DNFTA-still-11-large.webp,1920,1080
